正式法令名,法令番号,略称法令名１,略称法令名２,略称法令名３,略称法令名４
経済産業省関係構造改革特別区域法施行規則,平成十五年経済産業省令第三十八号,経済産業省関係特区法施行規則,,,
経済産業省関係構造改革特別区域法第二条第三項に規定する省令の特例に関する措置及びその適用を受ける特定事業を定める省令,平成十五年経済産業省令第三十九号,経済産業省関係特区法に規定する特例措置及び特定事業を定める省令,,,
国土交通省の所管する法令に係る情報通信技術を活用した行政の推進等に関する法律施行規則,平成十五年国土交通省令第二十五号,国土交通省所管法令行政手続オンライン化法施行規則,国土交通省所管法令行政手続ＩＴ利用法施行規則,,
下請中小企業振興法施行規則,平成十五年内閣府・総務省・財務省・厚生労働省・農林水産省・経済産業省・国土交通省令第三号,下請振興法施行規則,,,
環境省の所管する法令に係る情報通信技術を活用した行政の推進等に関する法律施行規則,平成十五年環境省令第七号,環境省所管法令行政手続ＩＴ利用法施行規則,環境省所管法令行政手続オンライン化法施行規則,,
環境省関係構造改革特別区域法施行規則,平成十五年環境省令第十二号,環境省関係特区法施行規則,,,
環境省関係構造改革特別区域法第三十五条に規定する政令等規制事業に係る省令の特例に関する措置を定める省令,平成十五年環境省令第十三号,環境省関係特区法に規定する特例措置及び特定事業を定める省令,環境省関係特区法第三十四条に規定する政令等規制事業に係る省令の特例に関する措置を定める省令,,
遺伝子組換え生物等の使用等の規制による生物の多様性の確保に関する法律施行規則,平成十五年財務省・文部科学省・厚生労働省・農林水産省・経済産業省・環境省令第一号,カルタヘナ担保法施行規則,カルタヘナ法施行規則,カルタヘナ議定書担保法施行規則,
公正取引委員会の所管する法令に係る情報通信技術を活用した行政の推進等に関する法律施行規則,平成十五年公正取引委員会規則第一号,公正取引委員会所管法令行政手続オンライン化法施行規則,公正取引委員会所管法令行政手続ＩＴ利用法施行規則,,
国家公安委員会の所管する法令に係る情報通信技術を活用した行政の推進等に関する法律施行規則,平成十五年国家公安委員会規則第六号,行政手続オンライン化法施行に伴う国家公安委委員会所管対象手続等を定める国家公安委員会規則,行政手続ＩＴ利用法施行に伴う国家公安委員会所管対象手続等を定める国家公安委員会規則,,
特殊開錠用具の所持の禁止等に関する法律施行規則,平成十五年国家公安委員会規則第十二号,ピッキング対策法施行規則,ピッキング防止法施行規則,,
インターネット異性紹介事業を利用して児童を誘引する行為の規制等に関する法律施行規則,平成十五年国家公安委員会規則第十五号,出会い系サイト規制法施行規則,出会い系サイト被害防止法施行規則,,
人事院規則一―三九（構造改革特別区域における人事院規則の特例に関する措置）,平成十五年人事院規則一―三九,特区における人事院規則の特例措置及び特定事業,,,
国際航海船舶及び国際港湾施設の保安の確保等に関する法律,平成十六年法律第三十一号,国際船舶・港湾保安法,,,
市町村の合併の特例に関する法律,平成十六年法律第五十九号,市町村合併特例法,合併特例法,,
裁判員の参加する刑事裁判に関する法律,平成十六年法律第六十三号,裁判員法,,,
環境情報の提供の促進等による特定事業者等の環境に配慮した事業活動の促進に関する法律,平成十六年法律第七十七号,環境配慮促進法,,,
特定外来生物による生態系等に係る被害の防止に関する法律,平成十六年法律第七十八号,外来生物法,,,
高速道路株式会社法,平成十六年法律第九十九号,高速道路会社法,,,
年金積立金管理運用独立行政法人法,平成十六年法律第百五号,ＧＰＩＦ法,,,
武力攻撃事態等における国民の保護のための措置に関する法律,平成十六年法律第百十二号,国民保護法,,,
武力攻撃事態等及び存立危機事態におけるアメリカ合衆国等の軍隊の行動に伴い我が国が実施する措置に関する法律,平成十六年法律第百十三号,米軍行動関連措置法,米軍行動円滑化法,,
武力攻撃事態等における特定公共施設等の利用に関する法律,平成十六年法律第百十四号,特定公共施設利用法,,,
国際人道法の重大な違反行為の処罰に関する法律,平成十六年法律第百十五号,国際人道法違反処罰法,,,
武力攻撃事態及び存立危機事態における外国軍用品等の海上輸送の規制に関する法律,平成十六年法律第百十六号,外国軍用品等海上輸送規制法,,,
武力攻撃事態及び存立危機事態における捕虜等の取扱いに関する法律,平成十六年法律第百十七号,捕虜取扱い法,捕虜取扱法,,
不動産登記法,平成十六年法律第百二十三号,新不動産登記法,不登法,,
金融機能の強化のための特別措置に関する法律,平成十六年法律第百二十八号,金融機能強化法,,,
民間事業者等が行う書面の保存等における情報通信の技術の利用に関する法律,平成十六年法律第百四十九号,電子文書法,ｅ－文書法,,
裁判外紛争解決手続の利用の促進に関する法律,平成十六年法律第百五十一号,ＡＤＲ法,,,
コンテンツの創造、保護及び活用の促進に関する法律,平成十六年法律第八十一号,コンテンツ促進法,,,
特定船舶の入港の禁止に関する特別措置法,平成十六年法律第百二十五号,特定船舶入港禁止法,特定船舶入港禁止特措法,,
遺伝子組換え生物等の使用等の規制による生物の多様性の確保に関する法律第二十四条第一項の規定により納付すべき手数料の額を定める政令,平成十六年政令第二十一号,カルタヘナ担保法手数料の額を定める政令,カルタヘナ議定書担保法手数料の額を定める政令,,
成田国際空港株式会社法施行令,平成十六年政令第五十号,成田空港会社法施行令,,,
平成十六年度における国民年金法による年金の額等の改定の特例に関する法律に基づく私立学校教職員共済法の年金の額の改定に関する政令,平成十六年政令第百十六号,平成十六年度における国民年金法による年金の額等の改定の特例に関する法律に基づく私学共済法の年金の額の改定に関する政令,,,
国際航海船舶及び国際港湾施設の保安の確保等に関する法律施行令,平成十六年政令第百六十四号,国際船舶・港湾保安法施行令,,,
独立行政法人中小企業基盤整備機構法施行令,平成十六年政令第百八十二号,中小機構法施行令,,,
市町村の合併の特例等に関する法律の施行に伴う国民健康保険の保険料の賦課に関する経過措置に関する政令,平成十六年政令第百九十二号,市町村合併特例法の施行に伴う国民健康保険の保険料の賦課に関する経過措置に関する政令,,,
金融機能の強化のための特別措置に関する法律施行令,平成十六年政令第二百四十号,金融機能強化法施行令,,,
国際人道法の重大な違反行為の処罰に関する法律第三条の重要な文化財を定める政令,平成十六年政令第二百五十四号,国際人道法違反処罰法第三条の重要な文化財を定める政令,,,
武力攻撃事態等における国民の保護のための措置に関する法律施行令,平成十六年政令第二百七十五号,国民保護法施行令,,,
武力攻撃事態等及び存立危機事態におけるアメリカ合衆国等の軍隊の行動に伴い我が国が実施する措置に関する法律施行令,平成十六年政令第二百七十八号,米軍行動円滑化法施行令,米軍行動関連措置法施行令,,
武力攻撃事態等における特定公共施設等の利用に関する法律施行令,平成十六年政令第二百八十号,特定公共施設利用法施行令,,,
心神喪失等の状態で重大な他害行為を行った者の医療及び観察等に関する法律施行令,平成十六年政令第三百十号,心神喪失者等医療観察法施行令,,,
国際捜査共助等に関する法律施行令,平成十六年政令第三百五十三号,国際捜査共助法施行令,,,
年金積立金管理運用独立行政法人法施行令,平成十六年政令第三百六十六号,ＧＰＩＦ法施行令,,,
個別労働関係紛争の解決の促進に関する法律第七条第一項の人数を定める政令,平成十六年政令第三百七十四号,個別労働紛争解決促進法第七条第一項の人数を定める政令,,,
不動産登記令,平成十六年政令第三百七十九号,不登令,,,
武力攻撃事態及び存立危機事態における外国軍用品等の海上輸送の規制に関する法律施行令,平成十六年政令第三百九十二号,外国軍用品等海上輸送規制法施行令,,,
武力攻撃事態及び存立危機事態における捕虜等の取扱いに関する法律施行令,平成十六年政令第三百九十三号,捕虜取扱法施行令,捕虜取扱い法施行令,,
武力攻撃事態等及び存立危機事態におけるアメリカ合衆国等の軍隊の行動に伴い我が国が実施する措置に関する法律施行規則,平成十六年内閣府令第七十五号,米軍行動円滑化法施行規則,米軍行動関連措置法施行規則,,
平成十六年度における地方財政法第三十三条の五の四の額の算定に関する省令,平成十六年総務省令第七十六号,平成十六年度における地財法第三十三条の五の四の額の算定に関する省令,,,
学校教育法第百十条第二項に規定する基準を適用するに際して必要な細目を定める省令,平成十六年文部科学省令第七号,学教法第百十条第二項に規定する基準を適用するに際して必要な細目を定める省令,,,
医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律施行規則第十二条第一項に規定する試験検査機関の登録に関する省令,平成十六年厚生労働省令第六十一号,医薬品医療機器等法施行規則第十二条第一項に規定する試験検査機関の登録に関する省令,薬事法施行規則第十二条第一項に規定する試験検査機関の登録に関する省令,,
医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律施行規則第百十四条の四十九第一項第三号に規定する講習等を行う者の登録等に関する省令,平成十六年厚生労働省令第六十二号,医薬品医療機器等法施行規則第百十四条の四十九第一項第三号に規定する講習等を行う者の登録等に関する省令,薬事法施行規則第百十四条の四十九第一項第三号に規定する講習等を行う者の登録等に関する省令,,
医薬品、医薬部外品、化粧品、医療機器及び再生医療等製品の製造販売後安全管理の基準に関する省令,平成十六年厚生労働省令第百三十五号,ＧＶＰ省令,,,
医薬品、医薬部外品、化粧品及び再生医療等製品の品質管理の基準に関する省令,平成十六年厚生労働省令第百三十六号,ＧＱＰ省令,,,
構造改革特別区域法第十八条第一項に規定する高度医療の提供を行う病院又は診療所の構造設備、その有する人員等に関する基準,平成十六年厚生労働省令第百四十五号,構造改革特区法第十八条第一項に規定する高度医療の提供を行う病院又は診療所の構造設備、その有する人員等に関する基準,特区法第十八条第一項に規定する高度医療の提供を行う病院又は診療所の構造設備、その有する人員等に関する基準,,
医療機器及び体外診断用医薬品の製造管理及び品質管理の基準に関する省令,平成十六年厚生労働省令第百六十九号,ＱＭＳ省令,,,
医薬品の製造販売後の調査及び試験の実施の基準に関する省令,平成十六年厚生労働省令第百七十一号,医薬品ＧＰＳＰ省令,,,
医薬品及び医薬部外品の製造管理及び品質管理の基準に関する省令,平成十六年厚生労働省令第百七十九号,ＧＭＰ省令,,,
遺伝子組換え生物等の使用等の規制による生物の多様性の確保に関する法律第三十二条の規定による立入検査等及び報告に関する省令,平成十六年農林水産省令第十号,カルタヘナ担保法立入検査等及び報告に関する省令,カルタヘナ議定書担保法立入検査等及び報告に関する省令,,
遺伝子組換え生物等の使用等の規制による生物の多様性の確保に関する法律第三十二条の規定による立入検査等に関する省令,平成十六年経済産業省令第十四号,カルタヘナ担保法立入検査等に関する省令,カルタヘナ議定書担保法立入検査等に関する省令,,
成田国際空港株式会社法施行規則,平成十六年国土交通省令第十九号,成田空港会社法施行規則,,,
国際航海船舶及び国際港湾施設の保安の確保等に関する法律施行規則,平成十六年国土交通省令第五十九号,国際船舶・港湾保安法施行規則,,,
屋外広告物法施行規則,平成十六年国土交通省令第百二号,広告法施行規則,,,
風俗営業等の規制及び業務の適正化等に関する法律第二十条第五項に規定する指定試験機関を指定する規則,平成十六年国家公安委員会規則第二号,風営法に規定する指定試験機関を指定する規則,,,
有限責任事業組合契約に関する法律,平成十七年法律第四十号,ＬＬＰ法,有限責任事業組合契約法,,
刑事収容施設及び被収容者等の処遇に関する法律,平成十七年法律第五十号,刑事施設法,刑事被収容者処遇法,刑事収容施設法,
特定特殊自動車排出ガスの規制等に関する法律,平成十七年法律第五十一号,オフロード法,,,
地域における多様な需要に応じた公的賃貸住宅等の整備等に関する特別措置法,平成十七年法律第七十九号,公的賃貸住宅等整備特別措置法,地域住宅特別措置法,,
流通業務の総合化及び効率化の促進に関する法律,平成十七年法律第八十五号,物流総合効率化法,,,
障害者の日常生活及び社会生活を総合的に支援するための法律,平成十七年法律第百二十三号,障害者総合支援法,,,
公共工事の品質確保の促進に関する法律,平成十七年法律第十八号,公共工事品質確保法,公共工事品確法,,
携帯音声通信事業者による契約者等の本人確認等及び携帯音声通信役務の不正な利用の防止に関する法律,平成十七年法律第三十一号,携帯電話不正利用防止法,,,
偽造カード等及び盗難カード等を用いて行われる不正な機械式預貯金払戻し等からの預貯金者の保護等に関する法律,平成十七年法律第九十四号,預金者保護法,預貯金者保護法,,
出入国管理及び難民認定法第二条第五号ロの旅券を所持する外国人の上陸申請の特例に関する法律,平成十七年法律第九十六号,出入国管理法第二条第五号ロの旅券を所持する外国人の上陸申請の特例に関する法律,入管法第二条第五号ロの旅券を所持する外国人の上陸申請の特例に関する法律,難民認定法第二条第五号ロの旅券を所持する外国人の上陸申請の特例に関する法律,
高齢者虐待の防止、高齢者の養護者に対する支援等に関する法律,平成十七年法律第百二十四号,高齢者虐待防止法,,,
民間事業者等が行う書面の保存等における情報通信の技術の利用に関する法律施行令,平成十七年政令第八号,ｅ－文書法施行令,電子文書法施行令,,
金融商品取引法の審判手続等における参考人及び鑑定人の旅費及び手当に関する政令,平成十七年政令第二十号,金商法の審判手続等における参考人及び鑑定人の旅費及び手当に関する政令,,,
市町村の合併の特例に関する法律施行令,平成十七年政令第五十五号,市町村合併特例法施行令,合併特例法施行令,,
医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律関係手数料令,平成十七年政令第九十一号,薬事法関係手数料令,医薬品医療機器等法関係手数料令,薬機法関係手数料令,
特定外来生物による生態系等に係る被害の防止に関する法律施行令,平成十七年政令第百六十九号,外来生物法施行令,,,
高速道路株式会社法施行令,平成十七年政令第二百一号,高速道路会社法施行令,,,
地域における多様な需要に応じた公的賃貸住宅等の整備等に関する特別措置法施行令,平成十七年政令第二百五十七号,地域住宅特別措置法施行令,公的賃貸住宅等整備特別措置法施行令,,
有限責任事業組合契約に関する法律施行令,平成十七年政令第二百六十九号,ＬＬＰ法施行令,有限責任事業組合契約法施行令,,
国立大学法人法の一部を改正する法律の施行に伴う関係政令の整備及び経過措置に関する政令　抄,平成十七年政令第二百九十一号,国大法人法の一部を改正する法律の施行に伴う関係政令の整備及び経過措置に関する政令　抄,,,
流通業務の総合化及び効率化の促進に関する法律施行令,平成十七年政令第二百九十八号,物流総合効率化法施行令,,,
出入国管理及び難民認定法第二条第五号ロの旅券を所持する外国人の上陸申請の特例に関する法律施行令,平成十七年政令第三百二号,難民認定法第二条第五号ロの旅券を所持する外国人の上陸申請の特例に関する法律施行令,入管法第二条第五号ロの旅券を所持する外国人の上陸申請の特例に関する法律施行令,出入国管理法第二条第五号ロの旅券を所持する外国人の上陸申請の特例に関する法律施行令,
建設労働者の雇用の改善等に関する法律施行令,平成十七年政令第三百十四号,建設労働者雇用改善法施行令,,,
武力攻撃事態及び存立危機事態における捕虜等の取扱いに関する法律施行規則,平成十七年内閣府令第九号,捕虜取扱い法施行規則,捕虜取扱法施行規則,,
金融商品取引法第六章の二の規定による課徴金に関する内閣府令,平成十七年内閣府令第十七号,金商法第六章の二の規定による課徴金に関する内閣府令,,,
住宅用防災警報器及び住宅用防災報知設備に係る技術上の規格を定める省令,平成十七年総務省令第十一号,住警器規格省令,,,
市町村の合併の特例に関する法律施行規則,平成十七年総務省令第四十三号,市町村合併特例法施行規則,合併特例法施行規則,,
平成十七年度における地方財政法第三十三条の五の四の額の算定に関する省令,平成十七年総務省令第四十九号,平成十七年度における地財法第三十三条の五の四の額の算定に関する省令,,,
特別職の職員の給与に関する法律施行令第一条の所得の額の算定に関する内閣官房令,平成十七年総務省令第五十三号,特別職職員給与法施行令第一条の所得の額の算定に関する内閣官房令,特別職給与法施行令第一条の所得の額の算定に関する内閣官房令,,
携帯音声通信事業者による契約者等の本人確認等及び携帯音声通信役務の不正な利用の防止に関する法律施行規則,平成十七年総務省令第百六十七号,携帯電話不正利用防止法施行規則,,,
不動産登記規則,平成十七年法務省令第十八号,不登規則,,,
不動産登記令第四条の特例等を定める省令,平成十七年法務省令第二十二号,不登令第四条の特例等を定める省令,,,
石綿障害予防規則,平成十七年厚生労働省令第二十一号,石綿則,,,
医療機器の安全性に関する非臨床試験の実施の基準に関する省令,平成十七年厚生労働省令第三十七号,医療機器ＧＬＰ省令,,,
次世代育成支援対策推進法第十一条第一項に規定する交付金に関する内閣府令,平成十七年厚生労働省令第七十九号,次世代法第十一条第一項に規定する交付金に関する省令,,,
心神喪失等の状態で重大な他害行為を行った者の医療及び観察等に関する法律施行規則,平成十七年法務省・厚生労働省令第二号,心神喪失者等医療観察法施行規則,,,
農業協同組合法施行規則,平成十七年農林水産省令第二十七号,農協法施行規則,,,
協同組織金融機関の優先出資に関する法律に係る民間事業者等が行う書面の保存等における情報通信の技術の利用に関する命令,平成十七年内閣府・厚生労働省・農林水産省令第一号,優先出資法に係る民間事業者等が行う書面の保存等における情報通信の技術の利用に関する命令,,,
有限責任事業組合契約に関する法律施行規則,平成十七年経済産業省令第七十四号,有限責任事業組合契約法施行規則,ＬＬＰ法施行規則,,
北方領土問題等の解決の促進のための特別措置に関する法律施行規則,平成十七年国土交通省令第四十七号,北方領土法施行規則,北特法施行規則,,
高速道路株式会社法施行規則,平成十七年国土交通省令第六十三号,高速道路会社法施行規則,,,
地域における多様な需要に応じた公的賃貸住宅等の整備等に関する特別措置法施行規則,平成十七年国土交通省令第八十号,公的賃貸住宅等整備特別措置法施行規則,地域住宅特別措置法施行規則,,
流通業務の総合化及び効率化の促進に関する法律施行規則,平成十七年農林水産省・経済産業省・国土交通省令第一号,物流総合効率化法施行規則,,,
産業標準化法に係る民間事業者等が行う書面の保存等における情報通信の技術の利用に関する法律施行規則,平成十七年厚生労働省・農林水産省・経済産業省・国土交通省令第七号,ＪＩＳ法に係る民間事業者等が行う書面の保存等における情報通信の技術の利用に関する法律施行規則,,,
中小企業団体の組織に関する法律に係る民間事業者等が行う書面の保存等における情報通信の技術の利用に関する法律施行規則,平成十七年財務省・厚生労働省・農林水産省・経済産業省・国土交通省令第三号,中小企業団体法に係る民間事業者等が行う書面の保存等における情報通信の技術の利用に関する法律施行規則,,,
中小企業等協同組合法に係る民間事業者等が行う書面の保存等における情報通信の技術の利用に関する法律施行規則,平成十七年内閣府・財務省・厚生労働省・農林水産省・経済産業省・国土交通省令第四号,中協法に係る民間事業者等が行う書面の保存等における情報通信の技術の利用に関する法律施行規則,,,
絶滅のおそれのある野生動植物の種の保存に関する法律第二十三条第一項に規定する個体等登録機関に係る民間事業者等が行う書面の保存等における情報通信の技術の利用に関する省令,平成十七年環境省令第五号,種の保存法第二十三条第一項に規定する登録機関に係る民間事業者等が行う書面の保存等における情報通信の技術の利用に関する省令,野生動植物種保存法第二十三条第一項に規定する登録機関に係る民間事業者等が行う書面の保存等における情報通信の技術の利用に関する省令,,
国立大学法人法の一部を改正する法律の施行に伴う関係政令の整備及び経過措置に関する政令附則第二項の規定により新富山大学法人が行うものとされる環境情報の提供の促進等による特定事業者等の環境に配慮した事業活動の促進に関する法律第九条第一項の規定による環境報告書の作成及び公表の方法を定める省令,平成十七年文部科学省・環境省令第二号,国大法人法の一部を改正する法律の施行に伴う関係政令の整備及び経過措置に関する政令附則第二項の規定により新富山大学法人が行うものとされる環境情報の提供の促進等による特定事業者等の環境に配慮した事業活動の促進に関する法律第九条第一項の規定による環境報告書の作成及び公表の方法を定める省令,,,
特定外来生物による生態系等に係る被害の防止に関する法律施行規則,平成十七年農林水産省・環境省令第二号,外来生物法施行規則,,,
絶滅のおそれのある野生動植物の種の保存に関する法律第三十三条の十五第一項に規定する事業登録機関及び第三十三条の二十六第一項に規定する認定機関に係る民間事業者等が行う書面の保存等における情報通信の技術の利用に関する省令,平成十七年経済産業省・環境省令第三号,種の保存法第三十三条の八第一項に規定する認定機関に係る民間事業者等が行う書面の保存等における情報通信の技術の利用に関する省令,野生動植物種保存法第三十三条の八第一項に規定する認定機関に係る民間事業者等が行う書面の保存等における情報通信の技術の利用に関する省令,,
容器包装に係る分別収集及び再商品化の促進等に関する法律に係る民間事業者等が行う書面の保存等における情報通信の技術の利用に関する法律施行規則,平成十七年財務省・厚生労働省・農林水産省・経済産業省・環境省令第四号,容リ法施行規則,容器包装リサイクル法施行規則,,
石綿による健康被害の救済に関する法律,平成十八年法律第四号,アスベスト救済法,石綿救済法,石綿被害者救済法,石綿健康被害救済法
簡素で効率的な政府を実現するための行政改革の推進に関する法律,平成十八年法律第四十七号,行革推進法,行政改革推進法,,
一般社団法人及び一般財団法人に関する法律,平成十八年法律第四十八号,一般法人法,一般社団・財団法人法,一般社団・財団法,
公益社団法人及び公益財団法人の認定等に関する法律,平成十八年法律第四十九号,公益法人法,公益法人認定法,,
競争の導入による公共サービスの改革に関する法律,平成十八年法律第五十一号,公共サービス改革法,市場化テスト法,,
就学前の子どもに関する教育、保育等の総合的な提供の推進に関する法律,平成十八年法律第七十七号,認定こども園法,,,
法の適用に関する通則法,平成十八年法律第七十八号,法適用通則法,,,
犯罪被害財産等による被害回復給付金の支給に関する法律,平成十八年法律第八十七号,被害回復給付金支給法,,,
農業の担い手に対する経営安定のための交付金の交付に関する法律,平成十八年法律第八十八号,担い手経営安定法,,,
高齢者、障害者等の移動等の円滑化の促進に関する法律,平成十八年法律第九十一号,バリアフリー法,,,
道州制特別区域における広域行政の推進に関する法律,平成十八年法律第百十六号,道州制特区推進法,道州制特区法,,
教育基本法,平成十八年法律第百二十号,教基法,,,
自殺対策基本法,平成十八年法律第八十五号,自殺対策法,,,
ドミニカ移住者に対する特別一時金の支給等に関する法律,平成十八年法律第百三号,ドミニカ移住者特別一時金支給法,,,
有機農業の推進に関する法律,平成十八年法律第百十二号,有機農業推進法,,,
探偵業の業務の適正化に関する法律,平成十八年法律第六十号,探偵業務適正化法,探偵業法,,
拉致問題その他北朝鮮当局による人権侵害問題への対処に関する法律,平成十八年法律第九十六号,北朝鮮人権法,北朝鮮人権侵害対処法,,
海外の文化遺産の保護に係る国際的な協力の推進に関する法律,平成十八年法律第九十七号,文化遺産国際協力推進法,,,
がん対策基本法,平成十八年法律第九十八号,がん対策法,,,
障害者の日常生活及び社会生活を総合的に支援するための法律施行令,平成十八年政令第十号,障害者総合支援法施行令,,,
石綿による健康被害の救済に関する法律施行令,平成十八年政令第三十七号,石綿救済法施行令,アスベスト救済法施行令,石綿健康被害救済法施行令,石綿被害者救済法施行令
特定特殊自動車排出ガスの規制等に関する法律施行令,平成十八年政令第六十二号,オフロード法施行令,,,
裁判外紛争解決手続の利用の促進に関する法律施行令,平成十八年政令第百八十六号,ＡＤＲ法施行令,,,
刑事収容施設及び被収容者等の処遇に関する法律施行令,平成十八年政令第百九十二号,刑事施設法施行令,刑事収容施設法施行令,刑事被収容者処遇法施行令,
簡素で効率的な政府を実現するための行政改革の推進に関する法律第五十三条第一項の法人並びに同法第五十四条第一項の特殊法人及び認可法人を定める政令,平成十八年政令第二百七号,行政改革推進法第五十三条第一項の法人並びに同法第五十四条第一項の特殊法人及び認可法人を定める政令,行革推進法,,
農業の担い手に対する経営安定のための交付金の交付に関する法律施行令,平成十八年政令第二百二十一号,担い手経営安定法施行令,,,
競争の導入による公共サービスの改革に関する法律施行令,平成十八年政令第二百二十八号,公共サービス改革法施行令,市場化テスト法施行令,,
刑事訴訟法第三十六条の二の資産及び同法第三十六条の三第一項の基準額を定める政令,平成十八年政令第二百八十七号,刑訴法第三十六条の二の資産及び同法第三十六条の三第一項の基準額を定める政令,,,
公益社団法人及び公益財団法人の認定等に関する法律第五十条第一項に規定する合議制の機関の組織及び運営の基準を定める政令,平成十八年政令第三百三号,公益法人認定法第五十条第一項に規定する合議制の機関の組織及び運営の基準を定める政令,公益法人法第五十条第一項に規定する合議制の機関の組織及び運営の基準を定める政令,,
探偵業の業務の適正化に関する法律に規定する道公安委員会の権限の方面公安委員会への委任に関する政令,平成十八年政令第三百六十七号,探偵業法に規定する道公安委員会の権限の方面公安委員会への委任に関する政令,探偵業務適正化法に規定する道公安委員会の権限の方面公安委員会への委任に関する政令,,
高齢者、障害者等の移動等の円滑化の促進に関する法律施行令,平成十八年政令第三百七十九号,バリアフリー法施行令,,,
中心市街地の活性化に関する法律施行規則,平成十八年内閣府令第七十七号,中心市街地活性化法施行規則,,,
行政機関の保有する情報の公開に関する法律施行令第十三条第四項の送付に要する費用の納付方法を定める省令,平成十八年総務省令第二十七号,情報公開法施行令第十三条第四項の送付に要する費用の納付方法を定める省令,行政機関情報公開法施行令第十三条第四項の送付に要する費用の納付方法を定める省令,,
裁判外紛争解決手続の利用の促進に関する法律施行規則,平成十八年法務省令第五十二号,ＡＤＲ法施行規則,,,
犯罪被害財産等による被害回復給付金の支給に関する法律施行規則,平成十八年法務省令第七十七号,被害回復給付金支給法施行規則,,,
ドミニカ移住者に対する特別一時金の支給等に関する法律施行規則,平成十八年外務省令第十七号,ドミニカ移住者特別一時金支給法施行規則,,,
地方財政法施行令第二条第四項、第十七条第四項、第二十一条第四項及び第二十八条第三項並びに地方公共団体の財政の健全化に関する法律施行令第十四条第二項に規定する総務省令・財務省令で定める要件を定める省令,平成十八年総務省・財務省令第一号,地財法施行令第二条第四項、第十七条第四項、第二十一条第四項及び第二十八条第三項並びに地方公共団体の財政の健全化に関する法律施行令第十四条第二項に規定する総務省令・財務省令で定める要件を定める省令,,,
特定先端大型研究施設の共用の促進に関する法律施行規則,平成十八年文部科学省令第二十八号,共用促進法施行規則,,,
原子力発電施設等立地地域の振興に関する特別措置法施行令第八条第二項の額の算定に関する命令,平成十八年内閣府・文部科学省令第一号,原発立地地域振興特措法施行令第八条第二項の額の算定に関する命令,原子力発電施設等立地地域振興特別措置法施行令第八条第二項の額の算定に関する命令,原発立地振興法施行令第八条第二項の額の算定に関する命令,
障害者の日常生活及び社会生活を総合的に支援するための法律施行規則,平成十八年厚生労働省令第十九号,障害者総合支援法施行規則,,,
高齢者虐待の防止、高齢者の養護者に対する支援等に関する法律施行規則,平成十八年厚生労働省令第九十四号,高齢者虐待防止法施行規則,,,
障害者の日常生活及び社会生活を総合的に支援するための法律に基づく指定障害福祉サービスの事業等の人員、設備及び運営に関する基準,平成十八年厚生労働省令第百七十一号,障害者総合支援法に基づく指定障害福祉サービスの事業等の人員、設備及び運営に関する基準,,,
障害者の日常生活及び社会生活を総合的に支援するための法律に基づく指定障害者支援施設等の人員、設備及び運営に関する基準,平成十八年厚生労働省令第百七十二号,障害者総合支援法に基づく指定障害者支援施設等の人員、設備及び運営に関する基準,,,
障害者の日常生活及び社会生活を総合的に支援するための法律に基づく障害福祉サービス事業の設備及び運営に関する基準,平成十八年厚生労働省令第百七十四号,障害者総合支援法に基づく障害福祉サービス事業の設備及び運営に関する基準,,,
障害者の日常生活及び社会生活を総合的に支援するための法律に基づく地域活動支援センターの設備及び運営に関する基準,平成十八年厚生労働省令第百七十五号,障害者総合支援法に基づく地域活動支援センターの設備及び運営に関する基準,,,
障害者の日常生活及び社会生活を総合的に支援するための法律に基づく福祉ホームの設備及び運営に関する基準,平成十八年厚生労働省令第百七十六号,障害者総合支援法に基づく福祉ホームの設備及び運営に関する基準,,,
障害者の日常生活及び社会生活を総合的に支援するための法律に基づく障害者支援施設の設備及び運営に関する基準,平成十八年厚生労働省令第百七十七号,障害者総合支援法に基づく障害者支援施設の設備及び運営に関する基準,,,
障害児通所給付費等の請求に関する内閣府令,平成十八年厚生労働省令第百七十九号,障害児請求省令,,,
農業の担い手に対する経営安定のための交付金の交付に関する法律施行規則,平成十八年農林水産省令第五十九号,担い手経営安定法施行規則,,,
農業の担い手に対する経営安定のための交付金の交付に関する法律第三条第四項に規定する調整額及び同法第四条第二項の規定に基づく交付金の金額の算定に関する省令,平成十八年農林水産省令第七十二号,担い手経営安定法第三条第四項に規定する調整額及び同法第四条第二項の規定に基づく交付金の金額の算定に関する省令,,,
原子力発電施設等立地地域の振興に関する特別措置法施行令第六条第三項の人口一人当たりの工業付加価値額等の算定に関する省令,平成十八年経済産業省令第四十五号,原発立地振興法施行令第六条第三項の人口一人当たりの工業付加価値額等の算定に関する省令,原子力発電施設等立地地域振興特別措置法施行令第六条第三項の人口一人当たりの工業付加価値額等の算定に関する省令,原発立地地域振興特措法施行令第六条第三項の人口一人当たりの工業付加価値額等の算定に関する省令,
高齢者、障害者等の移動等の円滑化の促進に関する法律施行規則,平成十八年国土交通省令第百十号,バリアフリー法施行規則,,,
移動等円滑化のために必要な旅客施設又は車両等の構造及び設備並びに旅客施設及び車両等を使用した役務の提供の方法に関する基準を定める省令,平成十八年国土交通省令第百十一号,移動等円滑化基準,,,
